%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4,field.effort5
1761396911452182010,17105,1761396911451389392,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911472111248,17106,1761396911471383550,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911491859972,17107,1761396911491382468,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911512352405,17108,1761396911511347048,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911532373908,17109,1761396911531379626,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911552409457,17110,1761396911551344862,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911571870793,17111,1761396911571377083,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911592029032,17112,1761396911591382921,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911612050189,17113,1761396911611327891,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911632115145,17114,1761396911631383590,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911652197921,17115,1761396911651330595,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911671882954,17116,1761396911671388308,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911692158529,17117,1761396911691331219,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911712232400,17118,1761396911711384210,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911732429186,17119,1761396911731389072,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911751995919,17120,1761396911751328099,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911772311096,17121,1761396911771322780,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911791892133,17122,1761396911791332448,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911812361787,17123,1761396911811387716,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911831867372,17124,1761396911831337856,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911852170939,17125,1761396911851383898,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911872903908,17126,1761396911871401031,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
